[1732813332.472474161] PING 172.16.2.240 (172.16.2.240) 56(84) bytes of data.
[1732813480.704692406] 64 bytes from 172.16.2.240: icmp_seq=149 ttl=59 time=72.7 ms
[1732813481.708370257] 64 bytes from 172.16.2.240: icmp_seq=150 ttl=59 time=75.7 ms
[1732813482.706533306] 64 bytes from 172.16.2.240: icmp_seq=151 ttl=59 time=71.9 ms
[1732813483.712771856] 64 bytes from 172.16.2.240: icmp_seq=152 ttl=59 time=75.1 ms
[1732813484.745451279] 64 bytes from 172.16.2.240: icmp_seq=153 ttl=59 time=108 ms
[1732813485.700276624] 64 bytes from 172.16.2.240: icmp_seq=154 ttl=59 time=60.7 ms
[1732813486.714823987] 64 bytes from 172.16.2.240: icmp_seq=155 ttl=59 time=71.1 ms
[1732813487.712449221] 64 bytes from 172.16.2.240: icmp_seq=156 ttl=59 time=70.7 ms
[1732813488.694638480] 64 bytes from 172.16.2.240: icmp_seq=157 ttl=59 time=52.1 ms
[1732813489.723926596] 64 bytes from 172.16.2.240: icmp_seq=158 ttl=59 time=78.8 ms
[1732813490.797270742] 64 bytes from 172.16.2.240: icmp_seq=159 ttl=59 time=154 ms
[1732813491.702306864] 64 bytes from 172.16.2.240: icmp_seq=160 ttl=59 time=55.1 ms
[1732813492.710496354] 64 bytes from 172.16.2.240: icmp_seq=161 ttl=59 time=62.9 ms
[1732813493.723461262] 64 bytes from 172.16.2.240: icmp_seq=162 ttl=59 time=75.1 ms
[1732813494.688417846] 64 bytes from 172.16.2.240: icmp_seq=163 ttl=59 time=38.9 ms
[1732813495.709027615] 64 bytes from 172.16.2.240: icmp_seq=164 ttl=59 time=58.7 ms
[1732813496.692237138] 64 bytes from 172.16.2.240: icmp_seq=165 ttl=59 time=41.7 ms
[1732813497.739294201] 64 bytes from 172.16.2.240: icmp_seq=166 ttl=59 time=87.7 ms
[1732813498.699602046] 64 bytes from 172.16.2.240: icmp_seq=167 ttl=59 time=46.5 ms
[1732813499.727592636] 64 bytes from 172.16.2.240: icmp_seq=168 ttl=59 time=73.7 ms
[1732813500.722458816] 64 bytes from 172.16.2.240: icmp_seq=169 ttl=59 time=65.3 ms
[1732813501.708224661] 64 bytes from 172.16.2.240: icmp_seq=170 ttl=59 time=52.0 ms
[1732813502.721706514] 64 bytes from 172.16.2.240: icmp_seq=171 ttl=59 time=63.9 ms
[1732813503.710723621] 64 bytes from 172.16.2.240: icmp_seq=172 ttl=59 time=51.7 ms
[1732813504.722301022] 64 bytes from 172.16.2.240: icmp_seq=173 ttl=59 time=61.9 ms
[1732813505.719146947] 64 bytes from 172.16.2.240: icmp_seq=174 ttl=59 time=57.0 ms
[1732813506.725530741] 64 bytes from 172.16.2.240: icmp_seq=175 ttl=59 time=62.7 ms
[1732813507.728725130] 64 bytes from 172.16.2.240: icmp_seq=176 ttl=59 time=63.9 ms
[1732813508.738972142] 64 bytes from 172.16.2.240: icmp_seq=177 ttl=59 time=73.7 ms
[1732813509.758610277] 64 bytes from 172.16.2.240: icmp_seq=178 ttl=59 time=90.7 ms
[1732813510.733413965] 64 bytes from 172.16.2.240: icmp_seq=179 ttl=59 time=63.9 ms
[1732813511.743466890] 64 bytes from 172.16.2.240: icmp_seq=180 ttl=59 time=72.6 ms
[1732813512.756636714] 64 bytes from 172.16.2.240: icmp_seq=181 ttl=59 time=83.8 ms
[1732813513.748135875] 64 bytes from 172.16.2.240: icmp_seq=182 ttl=59 time=74.5 ms
[1732813514.728261220] 64 bytes from 172.16.2.240: icmp_seq=183 ttl=59 time=53.4 ms
[1732813515.731188636] 64 bytes from 172.16.2.240: icmp_seq=184 ttl=59 time=55.7 ms
[1732813516.743364656] 64 bytes from 172.16.2.240: icmp_seq=185 ttl=59 time=66.0 ms
[1732813517.712494421] 64 bytes from 172.16.2.240: icmp_seq=186 ttl=59 time=34.1 ms
[1732813518.779017451] 64 bytes from 172.16.2.240: icmp_seq=187 ttl=59 time=99.0 ms
[1732813519.737507228] 64 bytes from 172.16.2.240: icmp_seq=188 ttl=59 time=56.6 ms
[1732813520.739374494] 64 bytes from 172.16.2.240: icmp_seq=189 ttl=59 time=57.5 ms
[1732813521.767853835] 64 bytes from 172.16.2.240: icmp_seq=190 ttl=59 time=83.7 ms
[1732813522.747933515] 64 bytes from 172.16.2.240: icmp_seq=191 ttl=59 time=62.1 ms
[1732813523.758269865] 64 bytes from 172.16.2.240: icmp_seq=192 ttl=59 time=71.7 ms
[1732813524.759450866] 64 bytes from 172.16.2.240: icmp_seq=193 ttl=59 time=71.9 ms
[1732813525.779570149] 64 bytes from 172.16.2.240: icmp_seq=194 ttl=59 time=89.9 ms
[1732813526.754257669] 64 bytes from 172.16.2.240: icmp_seq=195 ttl=59 time=61.8 ms
